#{"t_start": 1684518120.9805593, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
215313.926183,7797,48242.112339
215654.786253,7797,48292.183376
214714.502831,7797,48342.421973
215310.98639,7797,48392.505224
215556.167978,7797,48442.600109
215359.429812,7797,48492.747686
215382.845445,7797,48543.063795
215597.474063,7797,48593.575528
215508.956461,7797,48643.826715
215039.159114,7797,48693.909268
215663.796699,7797,48743.992123
215261.699664,7797,48794.163897
215557.968458,7797,48844.326621
215454.675671,7797,48894.869056
215184.191441,7797,48945.143671
215761.653236,7797,48995.336015
215921.039339,7797,49045.417998
215320.813791,7797,49095.48601
215710.663038,7797,49145.557657
215517.085327,7797,49195.709999
215175.343524,7797,49246.034242
215220.802262,7797,49296.318363
215344.878114,7797,49346.40891
215234.435194,7797,49396.522721
215754.76343,7797,49446.626909
215136.474264,7797,49496.724046
215726.308331,7797,49546.914869
215566.970929,7797,49597.078535
214908.344688,7797,49647.376092
215048.144067,7797,49697.512813
215471.591191,7797,49747.590391
215340.853906,7797,49797.735194
215613.766407,7797,49848.004656
214978.082953,7797,49898.109497
215706.816849,7797,49948.263942
214742.741828,7797,49998.490289
215927.200065,7797,50048.661928
215567.750135,7797,50098.720192
215640.304974,7797,50148.999195
215455.548633,7797,50199.160852
215638.608675,7797,50249.322619
215331.805137,7797,50299.391691
215571.736099,7797,50349.557921
215456.446741,7797,50399.750264
215102.271868,7797,50449.910823
215668.812677,7797,50500.130115
215053.944936,7797,50550.273472
215682.97386,7797,50600.398032
215539.823025,7797,50650.575096
215858.515758,7797,50700.731442
216067.312716,7797,50751.082661
214841.70302,7797,50801.258963
215007.19454,7797,50851.38792
215635.442568,7797,50901.569917
215481.778127,7797,50951.656553
215159.170117,7797,51001.75727
215073.044415,7797,51052.002708
214796.6398,7797,51102.270226
216276.954428,7797,51152.425955
216084.75029,7797,51202.495173
215381.511359,7797,51252.572451
215465.817933,7797,51302.667507
215786.516314,7797,51352.863208
215055.466684,7797,51403.319717
215138.99204,7797,51453.489144
215504.615986,7797,51503.668381
215617.874615,7797,51553.793196
215548.122337,7797,51604.122953
215596.259949,7797,51654.392769
214586.772385,7797,51704.467446
215431.747076,7797,51754.54094
215703.458408,7797,51804.718555
215343.491807,7797,51855.004466
