#{"t_start": 1684608732.1879709, "env_id": "FinancialEconomicEnv-v0"}
r,l,t
143545.496646,7797,35627.843189
143292.553413,7797,35688.686593
143054.305168,7797,35748.863611
143025.395374,7797,35808.592234
143590.030815,7797,35868.659444
143633.883752,7797,35929.214835
143524.322653,7797,35992.859644
143561.022209,7797,36053.303721
143260.27296,7797,36113.461726
143537.120417,7797,36172.901946
143830.1121,7797,36233.988035
143821.944457,7797,36294.424767
143559.431532,7797,36354.798793
143621.978284,7797,36415.350264
143096.276588,7797,36475.477071
143802.289206,7797,36536.021971
143662.509022,7797,36600.400022
143702.743488,7797,36661.157942
143830.969396,7797,36722.260621
143383.239584,7797,36782.635926
143753.650906,7797,36842.53933
143722.723172,7797,36902.65744
144115.860183,7797,36963.122061
144137.183032,7797,37023.430983
143626.37644,7797,37083.386794
143718.410613,7797,37143.522009
143420.741216,7797,37208.16521
143324.071695,7797,37268.98088
144173.628334,7797,37329.689868
143191.50116,7797,37390.889719
143723.780793,7797,37451.669664
143956.329036,7797,37512.519199
143650.207616,7797,37573.715632
144011.250641,7797,37635.171868
143595.403751,7797,37695.002835
143695.005681,7797,37755.445411
143492.617756,7797,37820.026857
143719.240077,7797,37880.645629
143570.546212,7797,37940.752657
143452.344998,7797,38001.289242
143879.096607,7797,38061.460222
143632.610053,7797,38122.593559
142973.214458,7797,38183.028231
143382.049078,7797,38243.398138
143652.334135,7797,38303.961045
143247.919907,7797,38364.874284
144035.958782,7797,38429.197051
143752.652915,7797,38489.655531
143601.534093,7797,38551.694862
143965.386334,7797,38612.380023
143436.011621,7797,38673.303599
143316.230911,7797,38734.072981
143595.817911,7797,38794.95527
143863.698777,7797,38855.668739
143655.122878,7797,38916.910644
143286.914184,7797,38981.426158
143370.195198,7797,39041.756165
143820.1956,7797,39101.609775
143706.821458,7797,39162.280965
144630.655022,7797,39222.988176
143967.208918,7797,39283.391831
143820.787888,7797,39343.298461
143106.006817,7797,39403.463293
143762.044718,7797,39464.300949
143784.981173,7797,39524.904095
143377.866464,7797,39588.465279
143577.182097,7797,39648.572011
143285.032856,7797,39708.439738
142874.058423,7797,39769.073629
143482.590465,7797,39864.683171
143302.836568,7797,39926.142931
142912.364,7797,39987.563724
143178.171182,7797,40047.70458
143959.166961,7797,40107.833703
143530.083169,7797,40169.537545
143675.399273,7797,40232.548071
143134.136834,7797,40293.785679
143675.548471,7797,40354.570026
143447.272532,7797,40414.128622
143371.052728,7797,40474.453729
143011.876646,7797,40535.081036
143858.696602,7797,40595.759762
143485.69981,7797,40654.989455
143475.386162,7797,40714.722101
142832.780368,7797,40779.28893
143904.936375,7797,40841.677304
143343.099209,7797,40902.657795
143750.260786,7797,40963.106569
143685.388367,7797,41024.829556
144245.703489,7797,41084.987791
143700.103852,7797,41145.656124
143345.703002,7797,41205.685352
144006.473374,7797,41267.157881
142986.672425,7797,41336.781667
143195.942603,7797,41411.054233
143606.797945,7797,41480.810945
143047.530915,7797,41551.458402
143040.13513,7797,41621.119505
143471.479389,7797,41684.948987
143605.076762,7797,41745.831433
143777.090951,7797,41805.892045
143305.629064,7797,41866.475354
143266.087389,7797,41927.337241
143583.121434,7797,41991.788358
143865.5313,7797,42052.720859
142964.908376,7797,42113.933578
143449.019965,7797,42176.617753
143593.660994,7797,42236.723685
143825.802965,7797,42297.115332
143668.772003,7797,42357.032881
143577.495453,7797,42417.255101
143511.396664,7797,42477.569333
143827.951397,7797,42538.496419
143948.102837,7797,42602.830586
143680.029477,7797,42663.089568
143596.371562,7797,42724.175386
143779.627616,7797,42784.558832
143259.054499,7797,42844.298014
143612.981744,7797,42904.457658
143478.788794,7797,42964.838812
143501.652523,7797,43025.323534
143601.812088,7797,43084.695913
143698.629359,7797,43144.86519
143391.837861,7797,43208.953811
143774.900066,7797,43269.539429
143564.92179,7797,43330.376163
143389.006882,7797,43389.718614
143596.628877,7797,43449.823072
143305.758609,7797,43509.967225
143291.201657,7797,43570.158718
143562.51332,7797,43629.818515
143538.145754,7797,43689.565781
143338.856788,7797,43750.858066
143654.23703,7797,43814.808606
143762.988654,7797,43875.989567
143732.712576,7797,43939.44954
143459.70637,7797,44003.017684
143800.076303,7797,44066.736336
143790.464512,7797,44130.39943
143463.803963,7797,44193.465746
144006.492517,7797,44256.812741
143635.872262,7797,44322.081681
144372.367747,7797,44389.750002
143767.652613,7797,44453.286133
143614.042234,7797,44516.910328
143404.114484,7797,44580.301924
143821.988954,7797,44641.412678
142781.270858,7797,44701.073233
142961.336499,7797,44761.28546
143346.981065,7797,44827.113527
144143.821771,7797,44909.198173
143561.382558,7797,44974.669042
143403.089347,7797,45038.538338
143383.945636,7797,45100.562774
143897.138501,7797,45162.541549
143175.474788,7797,45225.931867
143614.679642,7797,45313.083231
143542.389409,7797,45406.245148
143734.737808,7797,45483.877169
143386.638722,7797,45559.518975
143230.109235,7797,45638.3953
143321.158814,7797,45714.568663
143604.0404,7797,45790.321181
143640.802741,7797,45865.859269
143562.439583,7797,45941.000855
143935.112058,7797,46015.983168
143877.632879,7797,46089.875812
143471.753052,7797,46163.218435
143580.000292,7797,46240.566655
143422.723608,7797,46312.697221
144025.523498,7797,46380.239228
144078.600039,7797,46447.833284
143520.944789,7797,46515.495412
143793.079944,7797,46583.103537
143756.944869,7797,46650.473809
143848.283004,7797,46717.582426
143661.969126,7797,46788.077562
143197.330703,7797,46855.19558
143836.403968,7797,46923.414399
143868.618324,7797,46989.807686
143411.403215,7797,47056.2238
143601.295917,7797,47123.314622
143441.518031,7797,47189.60611
143626.009875,7797,47252.96524
143588.012572,7797,47316.883636
143665.556472,7797,47383.127191
143629.974059,7797,47446.46407
143478.321736,7797,47509.044116
143362.636683,7797,47571.633097
143445.472059,7797,47634.208571
143521.285134,7797,47696.465015
143207.426462,7797,47758.147423
143489.972352,7797,47819.881146
143859.026192,7797,47883.305557
143295.465303,7797,47945.934073
143326.094427,7797,48012.853948
143374.699608,7797,48075.203063
143060.022772,7797,48137.039838
143548.076045,7797,48200.215651
143279.863083,7797,48262.723066
143763.213038,7797,48325.101557
143287.120273,7797,48387.924354
143387.872233,7797,48451.034709
143396.739438,7797,48514.821828
143829.486547,7797,48579.293754
142824.264104,7797,48642.100525
143546.447333,7797,48704.791936
143664.10199,7797,48766.86673
143317.345318,7797,48829.941677
143484.640093,7797,48894.981937
143728.84605,7797,48961.979417
143612.284322,7797,49024.326942
143813.337916,7797,49086.34936
143118.716364,7797,49148.34826
143418.039002,7797,49438.553337
143304.550941,7797,49523.877636
143097.669042,7797,49605.947767
143841.628085,7797,49670.403218
143782.343532,7797,49733.623366
143503.338862,7797,49810.747448
143539.5229,7797,49876.436722
143178.988723,7797,49941.578425
143562.201198,7797,50006.050159
143428.033505,7797,50071.069134
143825.476148,7797,50135.936579
143389.918082,7797,50200.681771
143282.202645,7797,50264.753514
143827.911232,7797,50330.857498
143370.409749,7797,50398.653848
143549.913361,7797,50461.163524
144039.340221,7797,50521.398525
143625.960301,7797,50581.639074
143466.678235,7797,50642.299061
143584.446768,7797,50702.14002
143547.179749,7797,50764.044614
143442.736861,7797,50826.164445
143831.92535,7797,50888.412311
143093.959585,7797,50950.669915
143412.28973,7797,51016.548685
143411.814753,7797,51078.223919
143625.461328,7797,51140.247888
143495.233911,7797,51202.511275
143769.755323,7797,51264.049684
143755.760873,7797,51325.371531
143618.411828,7797,51387.117645
143546.642042,7797,51449.186071
143673.015453,7797,51511.535684
143601.564381,7797,51576.538815
143600.331597,7797,51639.462245
144038.106633,7797,51701.23493
143096.357828,7797,51764.157641
143669.039623,7797,51827.931529
143489.708661,7797,51889.501814
143497.716526,7797,51951.13965
143840.32501,7797,52013.50876
143586.380632,7797,52078.561655
143173.557582,7797,52141.810689
143755.609025,7797,52205.598876
143642.804701,7797,52265.445765
144118.027409,7797,52324.618777
143354.78083,7797,52383.957919
143694.747866,7797,52443.342873
143322.874073,7797,52504.841236
143574.604586,7797,52563.379699
143647.993714,7797,52620.689377
143446.641269,7797,52678.682383
143334.947476,7797,52735.735406
143509.315978,7797,52797.235902
143415.031869,7797,52857.82587
143281.278144,7797,52916.687734
143723.980441,7797,52974.607441
143466.215369,7797,53033.925419
143175.223052,7797,53092.954464
143012.903205,7797,53151.991738
143325.521301,7797,53211.585484
143415.482327,7797,53270.988973
143564.33103,7797,53330.449533
144115.291194,7797,53394.041812
144125.289547,7797,53453.875417
143813.232947,7797,53513.969873
143691.084341,7797,53573.871681
143206.806757,7797,53634.437556
143392.744418,7797,53694.163464
143038.710504,7797,53756.903772
143612.129149,7797,53818.794327
143527.069487,7797,53881.453545
143212.373607,7797,53948.993935
142839.914064,7797,54023.787156
142839.959736,7797,54093.139259
143488.02785,7797,54163.106492
143867.518106,7797,54234.081458
143550.700643,7797,54303.756971
143815.92267,7797,54374.441627
143917.538544,7797,54443.382942
143852.8264,7797,54514.061497
